Sample ID,n,Average Δ47 ,Δ47 Standard Deviation,Δ47 Standard Error,Δ47 Standard Error based on Pooled S.D.,Which Used?,Average Δ47-based Temperature,Standard Deviation for Δ47-based Temperature ,Standard Error for Δ47-based Temperature ,Standard Error for Δ47-based Temperature based on Pooled S.D.,Which Used?,δ13C,δ13C Standard Deviation,δ13C Standard Error,δ13C Standard Error based on Pooled S.D.,Which Used?,Average δ18O,Average δ18O,δ18O Standard Deviation ,δ18O Standard Error,δ18O Standard Error based on Pooled S.D.,Which Used?,
,Number," (‰, I-CDES)",(‰),(‰),(‰),Measurement Error vs. Pooled,(°C),(°C),(°C),(°C),Measurement Error vs. Pooled,"(‰, VPDB)",(‰),(‰),(‰),Measurement Error vs. Pooled,"(‰, VSMOW)","(‰, VPDB)",(‰),(‰),(‰),Measurement Error vs. Pooled,
ZW02_046_5,4,0.603,0.012,0.006,0.004,M.E.,21.8,4.5,2.3,1.4,M.E.,3.52,0.15,0.08,0.04,M.E.,30.61,-0.29,0.11,0.05,0.03,M.E.,
ZW02_048_1,4,0.612,0.008,0.004,0.004,P.S.D.,18.9,2.7,1.4,1.4,P.S.D.,2.78,0.05,0.02,0.04,P.S.D.,30.20,-0.69,0.06,0.03,0.03,M.E.,
ZW02_055_3,3,0.602,0.007,0.004,0.005,P.S.D.,22.2,2.4,1.4,1.6,P.S.D.,3.42,0.07,0.04,0.05,P.S.D.,30.48,-0.42,0.06,0.03,0.03,M.E.,
ZW02_013_10,3,0.610,0.010,0.006,0.005,M.E.,19.7,4.0,2.3,1.6,M.E.,2.65,0.10,0.06,0.05,M.E.,30.59,-0.31,0.05,0.03,0.03,P.S.D.,
ZW02_014_25,3,0.621,0.011,0.006,0.005,M.E.,16.2,3.1,1.8,1.5,M.E.,3.04,0.06,0.04,0.05,P.S.D.,31.09,0.17,0.04,0.02,0.03,P.S.D.,
ZW02_VM11_5,3,0.601,0.013,0.007,0.005,M.E.,22.5,3.4,1.9,1.6,M.E.,2.80,0.32,0.19,0.05,M.E.,30.39,-0.50,0.11,0.07,0.03,M.E.,
ZW02_VM15_3,3,0.596,0.009,0.005,0.005,M.E.,24.3,2.4,1.4,1.7,P.S.D.,3.42,0.10,0.06,0.05,M.E.,30.36,-0.53,0.07,0.04,0.03,M.E.,
ZW02_046_320,4,0.609,0.008,0.004,0.004,P.S.D.,19.9,3.2,1.6,1.4,M.E.,3.82,0.16,0.08,0.04,M.E.,31.29,0.37,0.10,0.05,0.03,M.E.,
ZW02_048_168,3,0.594,0.009,0.005,0.005,M.E.,24.8,3.8,2.2,1.7,M.E.,4.25,0.05,0.03,0.05,P.S.D.,30.74,-0.17,0.03,0.02,0.03,P.S.D.,
ZW02_013_175,3,0.609,0.010,0.006,0.005,M.E.,19.9,3.8,2.2,1.6,M.E.,3.40,0.15,0.08,0.05,M.E.,31.25,0.33,0.06,0.03,0.03,M.E.,
ZW02_VM11_210,3,0.611,0.003,0.002,0.005,P.S.D.,19.3,0.4,0.2,1.6,P.S.D.,3.40,0.01,0.01,0.05,P.S.D.,30.97,0.06,0.16,0.09,0.03,M.E.,
ZW02_VM15_240,3,0.613,0.016,0.009,0.005,M.E.,18.8,4.1,2.4,1.6,M.E.,3.10,0.05,0.03,0.05,P.S.D.,31.33,0.41,0.13,0.08,0.03,M.E.,
Maloof_047-10,4,0.602,0.015,0.007,0.004,M.E.,22.4,4.7,2.3,1.4,M.E.,3.08,0.04,0.02,0.04,P.S.D.,30.42,-0.48,0.04,0.02,0.03,P.S.D.,
Maloof_047-280,4,0.603,0.008,0.004,0.004,P.S.D.,22.1,2.8,1.4,1.4,M.E.,3.89,0.02,0.01,0.04,P.S.D.,30.86,-0.05,0.05,0.02,0.03,P.S.D.,
Maloof_016-4,3,0.588,0.007,0.004,0.005,P.S.D.,26.9,2.2,1.3,1.7,P.S.D.,3.24,0.03,0.01,0.05,P.S.D.,30.41,-0.49,0.04,0.02,0.03,P.S.D.,
Maloof_016-510,3,0.592,0.012,0.007,0.005,M.E.,25.7,3.9,2.3,1.7,M.E.,4.55,0.01,0.01,0.05,P.S.D.,31.21,0.29,0.05,0.03,0.03,P.S.D.,
Maloof_014-565,4,0.652,0.014,0.007,0.004,M.E.,7.0,3.9,1.9,1.2,M.E.,1.73,0.04,0.02,0.04,P.S.D.,34.62,3.60,0.05,0.03,0.03,P.S.D.,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,