Session,Date of Measurement,Sample ID,δ13C,δ13C standard deviation,δ13C,δ18Omineral,δ18O standard deviation,δ18Omineral,δ47,δ47 standard deviation,Δ47,Δ47 standard error,Δ47,Δ47,δ48,δ48 standard deviation,Δ48,Δ48 standard deviation,δ49,δ49 standard deviation,Δ49 ,Δ49 standard deviation
,mm/dd/yy time,,"‰, VPDB",‰,"‰, VPDB, corrected to standards","‰, VPDB",‰,"‰, VPDB, corrected to standards","‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, CDES","‰, I-CDES","‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰
1,6-1-21 2:55 PM,ETH2,-10.01,0.00,-10.26,-18.95,0.00,-18.75,-12.105,0.023,-0.686,0.007,0.199,0.202,-11.418,0.080,-1.264,0.083,2.493,0.599,19.314,0.613
1,6-3-21 3:16 AM,ETH1,2.19,0.00,1.97,-2.46,0.01,-2.16,16.986,0.017,-0.661,0.005,0.200,0.202,25.354,0.111,1.896,0.111,-3.106,0.358,-31.560,0.338
1,6-3-21 2:54 PM,IAEA-603,2.64,0.00,2.42,-2.67,0.01,-2.37,17.293,0.027,-0.584,0.009,0.278,0.283,25.031,0.100,1.996,0.098,-3.636,0.545,-32.103,0.521
1,6-4-21 1:13 AM,CAR1,4.40,0.00,4.19,-5.02,0.00,-4.74,16.583,0.026,-0.567,0.009,0.296,0.302,19.666,0.075,1.465,0.081,-2.671,0.600,-28.283,0.578
1,6-4-21 4:39 AM,ETH3,1.87,0.00,1.65,-2.03,0.01,-1.73,17.493,0.014,-0.302,0.004,0.567,0.581,26.561,0.098,2.211,0.095,-3.340,0.470,-32.317,0.446
1,6-5-21 4:52 AM,ETH4,-10.08,0.00,-10.33,-18.82,0.01,-18.62,-11.803,0.018,-0.454,0.007,0.438,0.447,-10.962,0.085,-1.075,0.085,2.451,0.480,19.063,0.484
1,6-5-21 8:21 AM,TRV1,1.14,0.00,0.92,-9.83,0.01,-9.57,8.624,0.031,-0.303,0.009,0.574,0.588,9.044,0.084,0.678,0.077,-1.220,0.553,-14.199,0.537
1,6-7-21 4:27 PM,ETH2,-10.00,0.00,-10.25,-19.08,0.00,-18.89,-12.226,0.027,-0.683,0.009,0.203,0.205,-11.618,0.097,-1.196,0.099,2.149,0.512,19.228,0.518
1,6-8-21 4:55 PM,CAR1,4.49,0.00,4.27,-4.98,0.00,-4.69,16.702,0.024,-0.580,0.008,0.283,0.288,19.815,0.106,1.519,0.100,-3.285,0.364,-29.053,0.350
1,6-8-21 8:20 PM,ETH1,2.23,0.00,2.01,-2.43,0.00,-2.13,17.054,0.020,-0.663,0.006,0.198,0.201,25.456,0.127,1.936,0.123,-3.453,0.583,-31.993,0.561
1,6-10-21 6:22 AM,ETH3,1.87,0.00,1.64,-2.01,0.01,-1.71,17.503,0.020,-0.296,0.006,0.574,0.588,26.564,0.108,2.183,0.113,-3.243,0.487,-32.244,0.471
1,6-12-21 5:21 AM,TRV1,1.21,0.00,0.98,-9.92,0.00,-9.67,8.591,0.025,-0.304,0.007,0.573,0.587,9.239,0.048,1.060,0.047,-1.036,0.276,-13.898,0.268
1,6-15-21 3:21 PM,ETH2,-9.94,0.00,-10.19,-18.94,0.00,-18.74,-12.013,0.021,-0.674,0.007,0.212,0.215,-11.355,0.057,-1.219,0.062,2.008,0.401,18.730,0.408
1,6-15-21 6:45 PM,CAR1,4.44,0.00,4.23,-5.11,0.00,-4.83,16.525,0.038,-0.567,0.012,0.297,0.302,19.502,0.059,1.488,0.058,-2.866,0.725,-28.332,0.705
1,6-16-21 4:13 PM,IAEA-603,2.62,0.00,2.40,-2.67,0.01,-2.37,17.296,0.022,-0.565,0.008,0.299,0.304,24.954,0.094,1.918,0.095,-4.162,0.582,-32.601,0.558
1,6-17-21 6:01 AM,TRV1,1.07,0.00,0.85,-9.73,0.01,-9.47,8.665,0.024,-0.306,0.009,0.571,0.585,9.258,0.143,0.683,0.147,-1.433,0.516,-14.548,0.498
1,6-17-21 2:04 PM,ETH3,1.88,0.00,1.66,-2.10,0.00,-1.80,17.437,0.013,-0.295,0.004,0.575,0.589,26.437,0.097,2.230,0.090,-3.685,0.490,-32.527,0.481
1,6-17-21 5:28 PM,CAR1,4.44,0.00,4.22,-5.08,0.01,-4.79,16.570,0.024,-0.557,0.006,0.307,0.313,19.597,0.087,1.506,0.096,-3.420,0.562,-28.938,0.539
1,6-18-21 2:03 PM,ETH1,2.27,0.00,2.05,-2.50,0.00,-2.20,17.000,0.021,-0.682,0.007,0.178,0.180,25.313,0.070,1.930,0.073,-3.100,0.420,-31.556,0.406
1,6-19-21 12:22 AM,TRV1,1.20,0.00,0.98,-9.81,0.00,-9.56,8.697,0.014,-0.307,0.005,0.570,0.584,9.010,0.095,0.612,0.096,-1.699,0.380,-14.763,0.369
1,6-21-21 3:46 PM,CAR1,4.50,0.00,4.29,-4.98,0.00,-4.70,16.723,0.017,-0.563,0.007,0.301,0.306,19.715,0.084,1.431,0.086,-3.332,0.238,-29.101,0.222
1,6-21-21 7:10 PM,ETH4,-9.94,0.00,-10.19,-19.01,0.00,-18.81,-11.855,0.021,-0.447,0.007,0.445,0.455,-11.452,0.108,-1.182,0.111,2.341,0.596,19.205,0.599
1,6-22-21 5:57 PM,ETH2,-9.85,0.00,-10.10,-18.85,0.01,-18.65,-11.839,0.023,-0.681,0.007,0.204,0.207,-11.143,0.107,-1.190,0.112,2.128,0.623,18.569,0.625
1,6-23-21 5:28 AM,TRV1,1.12,0.00,0.89,-9.83,0.01,-9.58,8.600,0.015,-0.301,0.006,0.576,0.590,9.022,0.066,0.662,0.067,-1.325,0.390,-14.274,0.383
1,6-23-21 2:30 PM,IAEA-603,2.61,0.00,2.39,-2.76,0.00,-2.46,17.188,0.020,-0.558,0.006,0.305,0.311,24.700,0.070,1.856,0.073,-4.028,0.402,-32.276,0.384
1,6-24-21 2:59 PM,ETH3,1.95,0.00,1.73,-1.93,0.01,-1.63,17.647,0.019,-0.322,0.005,0.547,0.560,26.867,0.050,2.309,0.051,-4.008,0.695,-33.231,0.669
1,6-24-21 6:58 PM,CAR1,4.50,0.00,4.28,-5.01,0.01,-4.73,16.687,0.016,-0.570,0.004,0.294,0.299,19.696,0.059,1.468,0.056,-3.436,0.558,-29.146,0.535
1,6-25-21 1:51 PM,ETH1,2.25,0.00,2.03,-2.48,0.01,-2.18,17.023,0.012,-0.665,0.004,0.196,0.198,25.400,0.075,1.974,0.076,-3.981,0.419,-32.434,0.406
1,6-25-21 5:52 PM,TRV1,1.14,0.00,0.92,-9.80,0.00,-9.54,8.658,0.016,-0.299,0.007,0.579,0.593,9.122,0.064,0.693,0.065,-1.315,0.414,-14.354,0.406
1,6-28-21 3:26 PM,ETH2,-9.96,0.00,-10.21,-18.92,0.01,-18.72,-12.020,0.027,-0.688,0.009,0.197,0.200,-11.222,0.113,-1.138,0.117,1.968,0.332,18.655,0.332
1,6-29-21 8:36 AM,CAR1,4.49,0.00,4.27,-5.03,0.00,-4.75,16.648,0.017,-0.579,0.006,0.284,0.289,19.661,0.088,1.474,0.086,-3.810,0.460,-29.462,0.445
1,6-29-21 4:28 PM,ETH4,-9.92,0.00,-10.17,-19.04,0.01,-18.84,-11.866,0.014,-0.453,0.006,0.439,0.448,-11.420,0.089,-1.097,0.087,2.100,0.335,18.991,0.330
1,6-30-21 6:07 AM,TRV1,1.27,0.00,1.05,-9.77,0.00,-9.51,8.804,0.019,-0.311,0.006,0.566,0.580,9.224,0.061,0.739,0.067,-1.816,0.586,-15.030,0.575
1,6-30-21 3:26 PM,ETH3,1.88,0.00,1.66,-2.09,0.01,-1.78,17.434,0.016,-0.301,0.004,0.569,0.583,26.458,0.081,2.227,0.083,-4.524,0.445,-33.358,0.428
1,7-1-21 5:12 AM,TRV1,1.38,0.00,1.15,-9.77,0.01,-9.52,8.922,0.027,-0.296,0.009,0.581,0.595,9.177,0.117,0.700,0.116,-1.849,0.511,-15.161,0.498
1,7-1-21 1:42 PM,ETH1,2.19,0.00,1.97,-2.51,0.00,-2.21,16.932,0.029,-0.663,0.009,0.198,0.201,25.183,0.128,1.829,0.123,-4.000,0.573,-32.331,0.551
1,7-2-21 3:23 AM,CAR1,4.46,0.00,4.25,-5.05,0.01,-4.76,16.602,0.024,-0.575,0.007,0.288,0.293,19.601,0.058,1.453,0.054,-3.571,0.595,-29.165,0.569
1,7-2-21 2:46 PM,IAEA-603,2.71,0.00,2.49,-2.63,0.00,-2.34,17.417,0.027,-0.564,0.009,0.300,0.305,25.015,0.128,1.914,0.126,-4.097,0.480,-32.687,0.462
1,7-3-21 8:04 AM,TRV1,1.35,0.00,1.13,-9.80,0.01,-9.54,8.872,0.017,-0.293,0.004,0.585,0.599,9.157,0.093,0.724,0.098,-1.399,0.549,-14.646,0.537
1,7-7-21 4:22 AM,TRV1,0.98,0.00,0.75,-9.80,0.00,-9.55,8.497,0.028,-0.296,0.008,0.581,0.596,9.061,0.104,0.642,0.109,-1.617,0.460,-14.483,0.447
1,7-7-21 2:38 PM,ETH3,1.92,0.00,1.70,-2.00,0.01,-1.70,17.565,0.032,-0.302,0.010,0.568,0.581,26.730,0.099,2.329,0.098,-4.327,0.522,-33.369,0.509
1,7-8-21 8:05 AM,CAR1,4.43,0.00,4.21,-5.05,0.00,-4.76,16.574,0.011,-0.574,0.005,0.289,0.295,19.678,0.061,1.526,0.058,-3.655,0.362,-29.218,0.350
1,7-8-21 3:38 PM,ETH4,-9.94,0.00,-10.19,-18.99,0.00,-18.79,-11.836,0.022,-0.453,0.006,0.438,0.448,-11.334,0.063,-1.107,0.064,2.225,0.415,19.039,0.424
1,7-9-21 8:46 AM,TRV1,1.22,0.00,1.00,-9.79,0.00,-9.54,8.738,0.023,-0.307,0.009,0.570,0.584,9.144,0.094,0.709,0.093,-1.661,0.423,-14.783,0.419
1,7-12-21 1:36 PM,ETH1,2.27,0.00,2.05,-2.46,0.00,-2.16,17.052,0.021,-0.671,0.007,0.190,0.192,25.404,0.078,1.950,0.079,-3.938,0.476,-32.442,0.457
1,7-13-21 10:03 AM,CAR1,4.46,0.00,4.24,-5.01,0.00,-4.72,16.648,0.032,-0.569,0.011,0.294,0.299,19.675,0.111,1.440,0.109,-3.329,0.696,-29.009,0.682
1,7-13-21 5:48 PM,ETH2,-9.78,0.00,-10.02,-18.82,0.00,-18.62,-11.719,0.024,-0.674,0.008,0.211,0.214,-11.015,0.128,-1.136,0.126,1.793,0.559,18.075,0.565
1,7-14-21 5:51 AM,TRV1,1.34,0.00,1.12,-9.85,0.00,-9.60,8.798,0.019,-0.302,0.005,0.575,0.589,8.963,0.074,0.643,0.074,-1.836,0.369,-14.959,0.364
1,7-15-21 3:51 AM,CAR1,4.47,0.00,4.25,-5.02,0.00,-4.74,16.649,0.019,-0.564,0.006,0.299,0.305,19.746,0.085,1.543,0.087,-3.617,0.435,-29.270,0.425
1,7-15-21 7:14 AM,ETH3,1.90,0.00,1.68,-2.01,0.01,-1.71,17.534,0.028,-0.298,0.008,0.572,0.586,26.668,0.060,2.279,0.062,-4.515,0.477,-33.516,0.460
1,7-16-21 5:46 AM,ETH4,-10.19,0.00,-10.44,-19.12,0.01,-18.92,-12.195,0.021,-0.439,0.006,0.453,0.463,-11.537,0.068,-1.050,0.067,0.718,0.498,18.033,0.502
1,7-16-21 5:36 PM,CAR1,4.43,0.00,4.21,-5.07,0.00,-4.78,16.564,0.012,-0.567,0.004,0.297,0.303,19.596,0.131,1.482,0.131,-4.045,0.480,-29.564,0.463
1,7-17-21 7:25 AM,IAEA-603,2.43,0.00,2.21,-2.61,0.00,-2.31,17.165,0.022,-0.563,0.007,0.300,0.306,25.084,0.056,1.928,0.058,-4.015,0.644,-32.384,0.624
1,7-19-21 2:12 PM,TRV1,1.41,0.00,1.19,-9.84,0.00,-9.58,8.885,0.021,-0.293,0.007,0.584,0.599,8.995,0.058,0.652,0.056,-1.781,0.350,-14.992,0.342
1,7-20-21 4:00 AM,ETH3,1.72,0.00,1.50,-2.17,0.01,-1.87,17.218,0.019,-0.268,0.007,0.603,0.618,26.245,0.093,2.197,0.087,-5.379,0.378,-33.862,0.375
1,7-21-21 4:49 PM,TRV1,1.47,0.00,1.25,-9.80,0.00,-9.55,8.984,0.016,-0.294,0.005,0.583,0.597,9.076,0.114,0.656,0.114,-2.067,0.661,-15.410,0.649
1,7-21-21 8:12 PM,ETH2,-9.88,0.00,-10.13,-18.86,0.00,-18.66,-11.868,0.024,-0.679,0.008,0.206,0.209,-11.107,0.067,-1.144,0.064,1.600,0.714,18.073,0.729
1,7-22-21 6:34 AM,CAR1,4.41,0.00,4.19,-4.98,0.00,-4.69,16.624,0.016,-0.570,0.006,0.293,0.299,19.797,0.096,1.505,0.090,-3.581,0.385,-29.257,0.380
1,7-28-21 2:05 PM,TRV1,1.43,0.00,1.20,-9.86,0.00,-9.60,8.884,0.018,-0.290,0.006,0.588,0.602,8.966,0.120,0.664,0.118,-1.927,0.522,-15.115,0.518
1,7-28-21 5:28 PM,ETH1,2.23,0.00,2.01,-2.47,0.00,-2.17,17.013,0.026,-0.661,0.009,0.200,0.202,25.347,0.068,1.913,0.066,-4.633,0.625,-33.063,0.607
1,7-28-21 8:52 PM,CAR1,4.53,0.00,4.31,-5.03,0.00,-4.74,16.697,0.024,-0.569,0.008,0.295,0.300,19.707,0.135,1.510,0.129,-4.296,0.526,-29.982,0.514
1,7-29-21 3:29 PM,TRV1,1.37,0.00,1.15,-9.77,0.00,-9.51,8.922,0.025,-0.296,0.009,0.582,0.596,9.123,0.080,0.639,0.081,-2.532,0.479,-15.837,0.472
1,7-30-21 3:17 PM,ETH4,-9.95,0.00,-10.20,-19.02,0.01,-18.83,-11.877,0.030,-0.446,0.010,0.445,0.455,-11.335,0.071,-1.034,0.069,1.388,0.601,18.278,0.606
1,7-31-21 11:47 AM,CAR1,4.48,0.00,4.27,-5.02,0.00,-4.73,16.671,0.026,-0.560,0.009,0.303,0.309,19.642,0.099,1.429,0.100,-3.998,0.518,-29.666,0.506
1,8-2-21 2:26 PM,ETH3,1.99,0.00,1.77,-2.01,0.00,-1.71,17.624,0.030,-0.301,0.010,0.569,0.583,26.531,0.089,2.148,0.083,-4.946,0.585,-34.024,0.567
1,8-4-21 7:30 PM,ETH1,2.29,0.00,2.06,-2.50,0.01,-2.20,17.041,0.020,-0.657,0.007,0.204,0.206,25.302,0.084,1.923,0.083,-4.681,0.491,-33.105,0.470
1,8-5-21 5:45 AM,CAR1,4.48,0.00,4.27,-5.03,0.00,-4.74,16.651,0.019,-0.570,0.006,0.293,0.298,19.667,0.088,1.471,0.086,-4.519,0.363,-30.153,0.350
1,8-5-21 2:46 PM,ETH2,-9.89,0.00,-10.13,-18.95,0.01,-18.75,-11.959,0.025,-0.673,0.008,0.213,0.216,-11.264,0.101,-1.118,0.103,1.972,0.646,18.644,0.646
1,8-6-21 3:28 PM,IAEA-603,2.70,0.00,2.48,-2.70,0.00,-2.40,17.329,0.021,-0.568,0.007,0.295,0.301,24.839,0.101,1.874,0.103,-4.192,0.354,-32.639,0.344
1,8-9-21 1:52 PM,TRV1,1.35,0.00,1.12,-9.88,0.01,-9.63,8.783,0.018,-0.290,0.005,0.588,0.602,8.962,0.057,0.709,0.054,-2.705,0.686,-15.757,0.671
1,8-10-21 3:42 AM,ETH3,1.70,0.00,1.47,-1.93,0.01,-1.63,17.396,0.022,-0.320,0.006,0.549,0.563,26.790,0.079,2.237,0.079,-4.552,0.297,-33.514,0.281
1,8-10-21 2:20 PM,ETH4,-9.98,0.00,-10.22,-19.02,0.00,-18.82,-11.885,0.023,-0.444,0.007,0.447,0.457,-11.394,0.087,-1.112,0.085,1.571,0.651,18.468,0.659
1,8-11-21 3:02 PM,ETH2,-9.88,0.00,-10.13,-18.90,0.01,-18.70,-11.905,0.017,-0.680,0.007,0.205,0.208,-11.169,0.081,-1.129,0.086,1.665,0.419,18.217,0.418
1,8-13-21 2:25 PM,CAR1,4.57,0.00,4.36,-5.00,0.01,-4.71,16.769,0.021,-0.572,0.008,0.291,0.296,19.751,0.079,1.496,0.083,-4.014,0.675,-29.806,0.645
1,8-13-21 5:50 PM,ETH3,1.97,0.00,1.75,-1.94,0.01,-1.64,17.667,0.024,-0.304,0.008,0.566,0.580,26.907,0.110,2.377,0.121,-4.894,0.730,-34.081,0.700
1,8-19-21 8:15 PM,CAR1,4.54,0.01,4.32,-5.05,0.01,-4.77,16.685,0.019,-0.566,0.007,0.298,0.303,19.639,0.078,1.491,0.073,-3.619,0.382,-29.284,0.352
1,8-19-21 11:38 PM,ETH2,-9.89,0.01,-10.13,-18.94,0.01,-18.74,-11.944,0.020,-0.662,0.006,0.223,0.227,-11.323,0.095,-1.187,0.089,1.930,0.591,18.593,0.591
1,8-21-21 3:53 AM,ETH4,-9.96,0.00,-10.21,-19.05,0.01,-18.85,-11.917,0.029,-0.450,0.008,0.442,0.451,-11.463,0.094,-1.109,0.101,2.408,0.622,19.380,0.620
1,8-21-21 7:16 AM,CAR1,4.50,0.01,4.28,-5.05,0.01,-4.77,16.643,0.022,-0.563,0.005,0.301,0.307,19.573,0.080,1.435,0.086,-3.419,0.796,-29.043,0.758
1,8-24-21 2:09 AM,ETH1,2.24,0.01,2.02,-2.56,0.01,-2.26,16.947,0.031,-0.641,0.007,0.221,0.224,25.084,0.062,1.828,0.060,-4.153,0.447,-32.434,0.415
1,8-24-21 5:33 AM,CAR1,4.47,0.01,4.26,-5.04,0.01,-4.75,16.621,0.020,-0.572,0.008,0.291,0.296,19.506,0.093,1.335,0.088,-3.145,0.570,-28.784,0.540
1,8-25-21 12:22 AM,ETH2,-9.77,0.01,-10.01,-18.77,0.01,-18.57,-11.654,0.018,-0.671,0.007,0.215,0.218,-10.819,0.094,-1.027,0.102,2.178,0.769,18.363,0.756
1,8-25-21 3:46 AM,TRV1,1.27,0.00,1.05,-9.84,0.01,-9.58,8.723,0.028,-0.319,0.008,0.558,0.572,8.992,0.067,0.649,0.060,-1.640,0.395,-14.719,0.374
1,8-25-21 11:00 PM,ETH3,1.90,0.01,1.68,-2.06,0.01,-1.76,17.455,0.030,-0.320,0.009,0.550,0.563,26.358,0.060,2.085,0.075,-3.542,0.668,-32.471,0.630
1,8-26-21 2:22 AM,TRV1,1.36,0.01,1.14,-9.84,0.01,-9.58,8.851,0.014,-0.281,0.007,0.597,0.612,9.006,0.091,0.655,0.100,-2.074,0.361,-15.241,0.346
1,8-28-21 2:28 AM,ETH4,-9.93,0.01,-10.17,-18.98,0.01,-18.78,-11.803,0.024,-0.442,0.007,0.449,0.459,-11.269,0.048,-1.056,0.048,2.237,0.585,19.023,0.585
1,8-28-21 5:51 AM,TRV1,1.35,0.00,1.13,-9.76,0.01,-9.50,8.895,0.023,-0.317,0.006,0.560,0.574,9.232,0.087,0.719,0.098,-1.548,0.585,-14.876,0.559
1,8-28-21 11:40 PM,ETH1,2.24,0.01,2.02,-2.54,0.01,-2.24,16.958,0.023,-0.654,0.004,0.207,0.210,25.168,0.098,1.872,0.111,-3.653,0.501,-31.987,0.467
1,8-29-21 3:03 AM,TRV1,1.35,0.00,1.13,-9.79,0.01,-9.54,8.870,0.019,-0.300,0.007,0.578,0.592,9.054,0.098,0.619,0.100,-1.367,0.394,-14.619,0.372
1,8-30-21 3:08 PM,ETH3,1.88,0.01,1.66,-2.09,0.01,-1.79,17.439,0.022,-0.291,0.004,0.579,0.593,26.403,0.103,2.184,0.101,-3.634,0.432,-32.485,0.406
1,8-31-21 4:46 AM,CAR1,4.47,0.00,4.25,-5.03,0.01,-4.74,16.637,0.030,-0.566,0.008,0.298,0.303,19.640,0.088,1.447,0.088,-2.983,0.729,-28.639,0.694
1,8-31-21 3:17 PM,ETH4,-9.91,0.01,-10.16,-18.89,0.01,-18.69,-11.688,0.020,-0.441,0.006,0.450,0.461,-11.064,0.074,-1.043,0.088,2.215,0.458,18.788,0.441
1,9-1-21 8:19 AM,TRV1,1.30,0.01,1.07,-9.73,0.01,-9.47,8.884,0.023,-0.298,0.006,0.579,0.593,9.249,0.092,0.680,0.107,-1.670,0.363,-14.994,0.346
2,1-6-22 4:46 PM,CAR1,4.45,0.00,4.31,-5.12,0.00,-4.71,16.505,0.018,-0.573,0.006,0.281,0.292,19.364,0.156,1.370,0.147,-4.025,0.626,-29.447,0.615
2,1-6-22 8:08 PM,ETH1,2.18,0.00,2.03,-2.57,0.00,-2.14,16.866,0.019,-0.651,0.006,0.197,0.209,24.947,0.109,1.722,0.109,-4.506,0.501,-32.697,0.491
2,1-6-22 11:31 PM,TRV1,1.25,0.00,1.09,-9.91,0.01,-9.53,8.660,0.021,-0.292,0.007,0.589,0.596,8.805,0.102,0.599,0.095,-2.040,0.834,-14.961,0.835
2,1-7-22 2:57 PM,ETH2,-9.97,0.00,-10.19,-19.05,0.01,-18.73,-12.141,0.023,-0.674,0.008,0.194,0.206,-11.456,0.118,-1.111,0.109,1.286,0.909,18.240,0.938
2,1-7-22 9:44 PM,ETH4,-10.05,0.00,-10.26,-19.19,0.00,-18.88,-12.130,0.015,-0.440,0.006,0.446,0.454,-11.741,0.098,-1.104,0.097,2.599,0.740,19.952,0.757
2,1-8-22 1:07 AM,IAEA-603,2.59,0.00,2.44,-2.79,0.00,-2.36,17.118,0.012,-0.569,0.004,0.285,0.296,24.507,0.079,1.727,0.076,-4.308,0.941,-32.471,0.924
2,1-10-22 2:46 PM,IAEA-C2,-8.09,0.00,-8.30,-9.38,0.00,-9.00,0.084,0.017,-0.262,0.006,0.627,0.633,9.929,0.081,0.692,0.074,-0.970,0.749,-5.674,0.752
