Session,Date of Measurement,Sample ID,δ13C,δ13C standard deviation,δ13C,δ18Omineral,δ18O standard deviation,δ18Omineral,δ47,δ47 standard deviation,Δ47,Δ47 standard error,Δ47,Δ47,δ48,δ48 standard deviation,Δ48,Δ48 standard deviation,δ49,δ49 standard deviation,Δ49 ,Δ49 standard deviation
2,1-10-22 6:08 PM,CAR1,4.43,0.00,4.29,-5.12,0.00,-4.71,16.507,0.013,-0.563,0.005,0.292,0.302,19.295,0.072,1.294,0.070,-4.100,0.731,-29.518,0.720
2,1-10-22 9:31 PM,TRV1,1.38,0.00,1.22,-9.95,0.01,-9.57,8.734,0.029,-0.298,0.010,0.582,0.589,8.693,0.067,0.569,0.063,-1.892,0.762,-14.859,0.761
2,1-11-22 4:19 AM,ETH1,2.13,0.00,1.98,-2.63,0.01,-2.21,16.748,0.029,-0.650,0.010,0.199,0.211,24.764,0.091,1.667,0.091,-4.215,0.830,-32.243,0.818
2,1-11-22 2:55 PM,ETH2,-9.94,0.00,-10.16,-18.99,0.01,-18.67,-12.053,0.027,-0.679,0.010,0.188,0.200,-11.301,0.109,-1.079,0.106,2.053,0.546,18.862,0.566
2,1-11-22 9:41 PM,CAR1,4.43,0.00,4.29,-5.09,0.00,-4.68,16.534,0.020,-0.559,0.006,0.296,0.307,19.350,0.079,1.285,0.075,-3.409,0.499,-28.898,0.496
2,1-12-22 1:03 AM,TRV1,1.33,0.00,1.17,-9.90,0.01,-9.53,8.723,0.023,-0.302,0.007,0.579,0.585,8.805,0.108,0.596,0.092,-2.023,1.173,-15.021,1.176
2,1-12-22 4:26 AM,ETH4,-10.03,0.00,-10.25,-19.14,0.00,-18.82,-12.067,0.032,-0.446,0.011,0.439,0.448,-11.626,0.098,-1.102,0.092,2.807,1.021,20.035,1.048
2,1-14-22 2:11 PM,ETH3,1.86,0.00,1.71,-2.21,0.01,-1.78,17.322,0.036,-0.266,0.009,0.611,0.617,25.906,0.103,1.931,0.088,-5.260,0.958,-33.824,0.948
2,1-14-22 8:58 PM,CAR1,4.40,0.00,4.26,-5.15,0.01,-4.74,16.440,0.024,-0.564,0.007,0.291,0.301,19.216,0.131,1.279,0.126,-3.722,0.668,-29.058,0.661
2,1-15-22 12:21 AM,IAEA-C2,-8.03,0.00,-8.23,-9.31,0.01,-8.93,0.221,0.026,-0.265,0.007,0.625,0.631,10.108,0.112,0.725,0.116,-1.085,0.716,-5.997,0.728
2,1-15-22 3:45 AM,TRV1,1.24,0.00,1.08,-9.96,0.01,-9.58,8.586,0.012,-0.297,0.006,0.583,0.590,8.618,0.089,0.520,0.084,-1.789,0.838,-14.598,0.837
2,1-17-22 12:57 PM,ETH3,1.83,0.00,1.68,-2.27,0.00,-1.84,17.225,0.020,-0.277,0.006,0.599,0.605,25.861,0.094,2.008,0.087,-5.034,0.645,-33.461,0.636
2,1-18-22 11:32 AM,ETH3,1.87,0.01,1.72,-2.18,0.01,-1.75,17.356,0.020,-0.265,0.004,0.612,0.618,26.019,0.129,1.994,0.114,-4.966,1.082,-33.590,1.073
2,1-19-22 2:41 PM,ETH2,-9.92,0.00,-10.13,-18.96,0.00,-18.65,-11.993,0.025,-0.670,0.010,0.199,0.211,-11.249,0.080,-1.075,0.075,1.740,0.746,18.467,0.767
2,1-19-22 6:04 PM,IAEA-C2,-8.03,0.00,-8.24,-9.30,0.01,-8.92,0.230,0.022,-0.260,0.007,0.630,0.636,10.126,0.083,0.725,0.077,-1.166,0.880,-6.088,0.890
2,1-19-22 9:27 PM,CAR1,4.43,0.00,4.29,-5.09,0.01,-4.68,16.549,0.023,-0.550,0.006,0.306,0.317,19.394,0.152,1.339,0.140,-4.402,0.815,-29.863,0.808
2,1-20-22 12:51 AM,TRV1,1.32,0.01,1.16,-9.89,0.01,-9.51,8.725,0.024,-0.306,0.007,0.574,0.580,8.822,0.133,0.582,0.119,-2.303,0.672,-15.316,0.682
2,1-20-22 4:14 AM,ETH3,1.88,0.00,1.72,-2.12,0.01,-1.69,17.412,0.020,-0.279,0.005,0.597,0.603,26.080,0.076,1.924,0.076,-4.123,0.811,-32.904,0.805
2,1-20-22 2:50 PM,ETH1,2.17,0.00,2.02,-2.67,0.01,-2.25,16.741,0.027,-0.655,0.007,0.194,0.205,24.732,0.101,1.720,0.094,-4.558,0.681,-32.536,0.679
2,1-20-22 6:13 PM,ETH4,-9.94,0.00,-10.15,-19.08,0.01,-18.76,-11.924,0.026,-0.459,0.006,0.425,0.433,-11.376,0.139,-0.962,0.133,1.356,0.600,18.343,0.621
2,1-20-22 9:37 PM,IAEA-603,2.62,0.01,2.47,-2.77,0.01,-2.35,17.182,0.025,-0.555,0.010,0.300,0.311,24.499,0.144,1.691,0.127,-4.921,1.109,-33.126,1.096
2,1-22-22 7:52 AM,TRV1,1.22,0.01,1.07,-9.86,0.01,-9.49,8.682,0.024,-0.285,0.003,0.596,0.603,8.854,0.109,0.561,0.099,-1.667,1.089,-14.650,1.100
2,1-22-22 6:07 PM,CAR1,4.43,0.00,4.29,-5.10,0.01,-4.69,16.528,0.031,-0.553,0.009,0.303,0.314,19.267,0.088,1.231,0.075,-4.068,0.982,-29.513,0.975
2,1-23-22 4:18 AM,IAEA-C2,-8.06,0.00,-8.26,-9.26,0.01,-8.87,0.253,0.018,-0.255,0.005,0.635,0.641,10.243,0.091,0.752,0.082,-1.017,0.779,-6.003,0.790
2,1-24-22 5:13 PM,TRV1,1.25,0.00,1.09,-9.94,0.01,-9.56,8.622,0.023,-0.295,0.005,0.585,0.592,8.762,0.127,0.617,0.114,-2.211,0.782,-15.066,0.785
2,1-25-22 6:09 PM,ETH1,2.22,0.00,2.07,-2.59,0.01,-2.17,16.871,0.037,-0.652,0.008,0.196,0.208,24.840,0.137,1.666,0.120,-4.363,0.792,-32.543,0.788
2,1-26-22 7:43 AM,CAR1,4.40,0.00,4.26,-5.15,0.01,-4.74,16.452,0.037,-0.559,0.010,0.296,0.307,19.194,0.098,1.249,0.086,-3.612,0.910,-28.960,0.909
2,1-26-22 6:07 PM,ETH3,1.90,0.00,1.75,-2.21,0.01,-1.78,17.357,0.030,-0.269,0.009,0.607,0.613,25.787,0.083,1.811,0.068,-4.738,0.887,-33.357,0.875
2,1-27-22 7:40 AM,TRV1,1.28,0.01,1.12,-9.90,0.01,-9.53,8.693,0.032,-0.288,0.008,0.593,0.599,8.784,0.141,0.572,0.130,-2.447,0.844,-15.394,0.855
2,1-28-22 3:34 PM,ETH4,-9.97,0.00,-10.19,-19.12,0.00,-18.81,-11.976,0.015,-0.430,0.006,0.456,0.465,-11.502,0.096,-1.000,0.092,1.737,0.407,18.859,0.424
2,1-29-22 8:41 AM,CAR1,4.42,0.00,4.28,-5.09,0.01,-4.68,16.531,0.024,-0.557,0.007,0.298,0.309,19.322,0.118,1.260,0.114,-4.221,0.528,-29.681,0.522
2,1-30-22 3:30 AM,ETH3,1.80,0.01,1.65,-2.27,0.02,-1.84,17.203,0.030,-0.258,0.008,0.619,0.625,25.700,0.167,1.860,0.141,-5.230,1.256,-33.613,1.256
3,3-11-22 1:37 PM,TRV1,1.28,0.01,0.99,-9.95,0.02,-9.60,8.664,0.039,-0.279,0.008,0.580,0.592,8.789,0.087,0.666,0.067,-3.644,0.650,-16.495,0.677
3,3-11-22 5:01 PM,CAR1,4.48,0.01,4.19,-5.08,0.02,-4.72,16.620,0.032,-0.535,0.005,0.293,0.303,19.430,0.086,1.354,0.058,-5.540,1.102,-31.036,1.112
3,3-11-22 8:24 PM,TRV1,1.42,0.01,1.12,-9.89,0.01,-9.55,8.863,0.031,-0.268,0.007,0.592,0.603,8.889,0.102,0.653,0.102,-3.640,0.713,-16.731,0.729
3,3-11-22 11:47 PM,IAEA-603,2.66,0.01,2.36,-2.66,0.01,-2.29,17.348,0.029,-0.541,0.005,0.287,0.296,24.735,0.114,1.700,0.098,-5.800,0.515,-34.229,0.522
3,3-14-22 5:34 PM,CAR1,4.48,0.01,4.19,-5.16,0.02,-4.80,16.528,0.029,-0.539,0.004,0.289,0.298,19.211,0.125,1.299,0.119,-4.582,0.575,-29.943,0.592
3,3-14-22 8:56 PM,TRV1,1.25,0.01,0.95,-9.88,0.02,-9.53,8.702,0.044,-0.284,0.008,0.574,0.586,8.877,0.108,0.611,0.087,-3.504,0.736,-16.467,0.771
3,3-15-22 12:20 AM,IAEA-C2,-8.00,0.01,-8.32,-9.38,0.02,-9.03,0.203,0.024,-0.237,0.008,0.633,0.645,9.930,0.122,0.692,0.101,-1.672,0.962,-6.466,0.995
3,3-15-22 6:15 PM,ETH1,2.31,0.01,2.01,-2.57,0.02,-2.20,17.009,0.047,-0.627,0.009,0.193,0.201,24.956,0.171,1.732,0.138,-4.946,0.702,-33.242,0.718
3,3-16-22 7:56 AM,CAR1,4.49,0.01,4.19,-5.07,0.01,-4.70,16.637,0.027,-0.534,0.004,0.294,0.304,19.383,0.120,1.279,0.101,-4.288,0.756,-29.847,0.764
3,3-16-22 7:19 PM,ETH4,-9.88,0.01,-10.21,-19.10,0.01,-18.79,-11.863,0.030,-0.434,0.007,0.428,0.438,-11.412,0.111,-0.965,0.104,0.883,0.578,17.843,0.609
3,3-17-22 9:02 AM,TRV1,1.33,0.01,1.03,-9.83,0.02,-9.48,8.827,0.055,-0.286,0.010,0.572,0.583,8.994,0.094,0.624,0.080,-2.688,0.860,-15.838,0.893
3,3-17-22 5:59 PM,ETH3,1.98,0.01,1.68,-2.18,0.03,-1.80,17.485,0.043,-0.249,0.007,0.605,0.617,25.946,0.195,1.913,0.149,-5.662,1.130,-34.383,1.155
3,3-18-22 7:35 AM,CAR1,4.40,0.01,4.11,-5.15,0.02,-4.79,16.464,0.043,-0.541,0.009,0.287,0.297,19.174,0.117,1.238,0.089,-4.505,0.771,-29.820,0.790
3,3-18-22 4:25 PM,IAEA-603,2.75,0.01,2.45,-2.79,0.03,-2.42,17.296,0.058,-0.544,0.007,0.283,0.292,24.429,0.208,1.655,0.160,-5.274,1.273,-33.557,1.300
3,3-19-22 9:29 AM,ETH2,-9.95,0.01,-10.27,-18.99,0.02,-18.69,-12.028,0.040,-0.639,0.006,0.203,0.212,-11.278,0.099,-1.037,0.076,1.662,0.646,18.488,0.703
3,3-21-22 6:35 PM,ETH1,2.32,0.02,2.02,-2.47,0.03,-2.09,17.127,0.071,-0.631,0.009,0.188,0.196,25.223,0.190,1.787,0.127,-5.346,1.217,-33.838,1.256
3,3-22-22 8:07 AM,TRV1,1.48,0.01,1.19,-9.84,0.02,-9.50,8.957,0.029,-0.293,0.005,0.565,0.576,8.928,0.143,0.591,0.121,-2.918,0.733,-16.185,0.762
3,3-22-22 6:50 PM,IAEA-C2,-7.90,0.01,-8.22,-9.31,0.02,-8.97,0.377,0.026,-0.226,0.006,0.644,0.656,10.128,0.116,0.752,0.095,-1.671,0.371,-6.697,0.396
3,3-23-22 8:29 AM,ETH2,-9.85,0.01,-10.18,-18.90,0.03,-18.60,-11.857,0.054,-0.657,0.012,0.184,0.192,-11.152,0.186,-1.102,0.146,1.988,0.805,18.526,0.874
3,3-23-22 2:11 PM,ETH1,2.34,0.00,2.04,-2.61,0.01,-2.24,17.002,0.021,-0.624,0.003,0.196,0.205,24.896,0.101,1.758,0.093,-5.670,0.494,-33.892,0.496
3,3-24-22 7:05 AM,IAEA-603,2.70,0.02,2.41,-2.66,0.03,-2.28,17.400,0.054,-0.546,0.010,0.281,0.290,24.795,0.206,1.741,0.146,-5.217,1.286,-33.725,1.321
3,3-24-22 3:14 PM,IAEA-C2,-7.90,0.01,-8.22,-9.29,0.02,-8.94,0.385,0.037,-0.245,0.006,0.624,0.636,10.123,0.151,0.694,0.124,-1.637,0.732,-6.715,0.780
3,3-25-22 8:22 AM,TRV1,1.40,0.02,1.10,-9.91,0.03,-9.57,8.809,0.050,-0.285,0.008,0.573,0.585,8.796,0.250,0.603,0.194,-3.685,1.039,-16.718,1.093
3,3-26-22 5:58 AM,CAR1,4.51,0.01,4.22,-5.00,0.02,-4.64,16.732,0.023,-0.545,0.006,0.283,0.292,19.757,0.087,1.512,0.070,-5.421,0.694,-31.108,0.707
3,3-26-22 9:25 AM,ETH3,1.97,0.01,1.67,-2.02,0.03,-1.64,17.643,0.050,-0.256,0.007,0.597,0.609,26.380,0.148,2.011,0.095,-6.742,1.195,-35.736,1.228
3,3-27-22 11:06 AM,ETH4,-9.86,0.01,-10.18,-19.20,0.02,-18.90,-11.950,0.040,-0.428,0.004,0.434,0.444,-11.674,0.072,-1.009,0.068,0.713,0.725,17.870,0.786
3,3-27-22 2:29 PM,TRV1,1.47,0.01,1.17,-9.91,0.03,-9.57,8.893,0.044,-0.276,0.006,0.583,0.595,8.842,0.176,0.642,0.129,-3.157,0.895,-16.275,0.940
3,3-28-22 7:35 AM,CAR1,4.51,0.01,4.22,-5.07,0.03,-4.71,16.656,0.053,-0.540,0.006,0.288,0.298,19.411,0.144,1.313,0.091,-4.379,1.157,-29.955,1.199
3,3-28-22 3:49 PM,ETH1,2.34,0.01,2.05,-2.55,0.02,-2.18,17.062,0.027,-0.630,0.008,0.189,0.198,25.013,0.111,1.755,0.086,-5.744,0.678,-34.082,0.697
3,3-29-22 8:50 AM,TRV1,1.37,0.01,1.07,-9.92,0.02,-9.58,8.771,0.045,-0.278,0.008,0.581,0.593,8.778,0.147,0.600,0.107,-2.917,0.960,-15.911,0.999
3,3-29-22 4:49 PM,ETH3,2.07,0.01,1.78,-2.15,0.02,-1.78,17.589,0.032,-0.259,0.005,0.594,0.606,25.920,0.135,1.838,0.114,-5.386,0.556,-34.251,0.579
3,3-30-22 6:21 AM,CAR1,4.51,0.01,4.22,-5.11,0.02,-4.74,16.629,0.037,-0.528,0.006,0.301,0.310,19.358,0.093,1.332,0.080,-5.487,0.766,-30.963,0.782
3,4-1-22 7:23 PM,CAR1,4.66,0.01,4.37,-5.08,0.02,-4.72,16.803,0.037,-0.535,0.008,0.293,0.302,19.515,0.104,1.432,0.082,-5.749,0.642,-31.415,0.669
3,4-1-22 10:48 PM,ETH4,-9.86,0.01,-10.19,-19.09,0.03,-18.79,-11.830,0.045,-0.419,0.011,0.443,0.454,-11.389,0.172,-0.947,0.122,0.520,0.999,17.447,1.079
3,4-4-22 4:33 PM,CAR1,4.58,0.01,4.29,-5.11,0.02,-4.74,16.694,0.043,-0.540,0.007,0.288,0.297,19.407,0.177,1.378,0.140,-5.586,0.966,-31.132,0.992
3,4-5-22 9:48 AM,ETH1,2.26,0.01,1.97,-2.57,0.03,-2.19,16.951,0.048,-0.642,0.007,0.176,0.184,24.978,0.148,1.748,0.110,-5.273,1.133,-33.522,1.159
3,4-5-22 6:15 PM,ETH4,-9.78,0.01,-10.10,-19.12,0.03,-18.82,-11.775,0.040,-0.415,0.004,0.448,0.459,-11.494,0.161,-0.994,0.123,1.573,1.148,18.491,1.231
3,4-6-22 7:46 AM,CAR1,4.57,0.01,4.28,-5.00,0.03,-4.63,16.790,0.053,-0.545,0.008,0.282,0.291,19.647,0.191,1.395,0.135,-5.688,1.091,-31.434,1.128
3,4-6-22 1:45 PM,ETH3,2.05,0.01,1.75,-2.21,0.03,-1.83,17.518,0.047,-0.255,0.010,0.599,0.611,25.910,0.129,1.936,0.082,-6.219,0.829,-34.933,0.863
3,4-7-22 6:45 AM,CAR1,4.46,0.01,4.17,-5.06,0.01,-4.69,16.619,0.034,-0.543,0.008,0.284,0.294,19.488,0.075,1.363,0.058,-5.582,0.803,-31.104,0.811
3,4-8-22 8:08 AM,ETH1,2.28,0.01,1.99,-2.50,0.02,-2.12,17.075,0.035,-0.618,0.006,0.203,0.211,24.912,0.110,1.539,0.082,-5.315,0.854,-33.722,0.876
3,4-8-22 5:54 PM,ETH4,-9.75,0.01,-10.07,-19.02,0.02,-18.72,-11.648,0.026,-0.426,0.003,0.436,0.446,-11.248,0.153,-0.956,0.132,0.624,0.636,17.282,0.670
3,4-9-22 7:32 AM,TRV1,1.40,0.01,1.10,-9.82,0.01,-9.48,8.919,0.017,-0.266,0.007,0.593,0.605,8.938,0.119,0.564,0.095,-3.551,0.718,-16.761,0.737
3,4-9-22 3:39 PM,TRV1,1.41,0.01,1.11,-9.88,0.03,-9.54,8.859,0.059,-0.280,0.008,0.579,0.591,8.893,0.188,0.636,0.129,-4.388,1.141,-17.485,1.197
3,4-10-22 5:14 AM,ETH3,1.98,0.01,1.68,-2.03,0.03,-1.66,17.614,0.052,-0.269,0.008,0.583,0.595,26.351,0.168,2.019,0.129,-7.495,1.239,-36.435,1.255
3,4-10-22 9:44 AM,ETH4,-9.91,0.01,-10.23,-19.12,0.02,-18.81,-11.899,0.036,-0.426,0.007,0.436,0.447,-11.365,0.155,-0.876,0.134,0.341,0.643,17.356,0.694
3,4-10-22 8:00 PM,ETH3,2.06,0.01,1.76,-2.02,0.02,-1.65,17.726,0.054,-0.251,0.008,0.602,0.614,26.248,0.140,1.896,0.095,-6.979,1.217,-36.040,1.232
3,4-11-22 6:13 AM,TRV1,1.12,0.01,0.82,-9.84,0.02,-9.50,8.625,0.035,-0.268,0.007,0.592,0.603,8.957,0.145,0.620,0.098,-3.536,0.984,-16.437,1.025
3,4-11-22 6:04 PM,CAR1,4.57,0.01,4.28,-5.04,0.02,-4.68,16.758,0.046,-0.533,0.008,0.296,0.305,19.536,0.119,1.379,0.073,-6.097,1.020,-31.744,1.046
3,4-12-22 4:21 PM,ETH3,1.96,0.01,1.66,-2.14,0.02,-1.76,17.509,0.048,-0.245,0.008,0.609,0.621,25.909,0.094,1.790,0.082,-5.737,0.714,-34.519,0.736
3,4-13-22 6:01 PM,ETH1,2.28,0.01,1.98,-2.59,0.03,-2.22,16.949,0.043,-0.635,0.006,0.184,0.192,24.833,0.162,1.653,0.117,-5.334,1.012,-33.548,1.037
3,4-14-22 7:35 AM,ETH2,-9.92,0.01,-10.24,-19.01,0.02,-18.71,-12.027,0.027,-0.647,0.005,0.195,0.204,-11.336,0.087,-1.057,0.064,1.969,0.492,18.809,0.535
3,4-14-22 5:37 PM,IAEA-603,2.76,0.01,2.46,-2.79,0.02,-2.41,17.317,0.033,-0.535,0.008,0.293,0.302,24.304,0.093,1.530,0.088,-5.466,0.659,-33.756,0.677
3,4-15-22 7:10 AM,TRV1,1.29,0.01,0.99,-9.92,0.02,-9.57,8.723,0.034,-0.260,0.004,0.601,0.613,8.610,0.129,0.425,0.098,-2.593,0.657,-15.530,0.683
3,4-15-22 4:41 PM,ETH4,-9.92,0.01,-10.24,-19.15,0.03,-18.85,-11.946,0.033,-0.424,0.007,0.439,0.449,-11.514,0.167,-0.954,0.117,0.385,1.414,17.489,1.512
3,4-15-22 8:06 PM,IAEA-603,2.57,0.01,2.27,-2.88,0.02,-2.50,17.028,0.030,-0.545,0.005,0.282,0.292,24.168,0.152,1.577,0.127,-5.404,0.842,-33.343,0.854
3,4-15-22 11:29 PM,TRV1,1.30,0.01,1.00,-9.89,0.02,-9.55,8.729,0.033,-0.275,0.005,0.584,0.595,8.806,0.127,0.577,0.087,-3.186,1.020,-16.157,1.053
3,4-19-22 3:58 PM,CAR1,4.57,0.01,4.28,-5.19,0.02,-4.83,16.603,0.029,-0.529,0.007,0.300,0.310,19.128,0.088,1.277,0.061,-5.705,0.498,-31.073,0.513
3,4-19-22 7:22 PM,IAEA-C2,-7.92,0.01,-8.24,-9.38,0.02,-9.03,0.275,0.025,-0.241,0.003,0.628,0.641,9.891,0.131,0.650,0.099,-2.211,0.813,-7.082,0.845
3,4-20-22 8:58 AM,ETH1,2.23,0.01,1.93,-2.67,0.03,-2.30,16.825,0.058,-0.625,0.009,0.195,0.204,24.578,0.181,1.568,0.132,-4.738,1.064,-32.769,1.094
3,4-23-22 5:46 PM,CAR1,4.55,0.01,4.26,-5.10,0.02,-4.73,16.656,0.037,-0.553,0.011,0.274,0.283,19.294,0.125,1.251,0.107,-5.460,0.624,-30.998,0.647
3,4-25-22 5:43 PM,TRV1,1.44,0.01,1.14,-9.97,0.02,-9.63,8.788,0.027,-0.278,0.006,0.580,0.592,8.688,0.116,0.612,0.075,-3.134,0.827,-16.095,0.855
3,4-25-22 9:05 PM,CAR1,4.60,0.01,4.31,-5.15,0.03,-4.79,16.659,0.044,-0.545,0.008,0.282,0.292,19.245,0.128,1.306,0.101,-5.359,0.885,-30.844,0.916
3,4-26-22 12:29 AM,ETH1,2.28,0.01,1.99,-2.60,0.02,-2.22,16.955,0.045,-0.632,0.008,0.187,0.196,24.818,0.081,1.652,0.088,-5.139,0.864,-33.354,0.890
3,4-26-22 3:51 AM,IAEA-C2,-7.93,0.00,-8.25,-9.35,0.01,-9.00,0.297,0.030,-0.242,0.008,0.627,0.640,10.039,0.127,0.736,0.118,-1.631,0.396,-6.557,0.409
3,4-26-22 6:40 PM,ETH2,-9.83,0.01,-10.15,-18.97,0.02,-18.66,-11.866,0.042,-0.626,0.007,0.218,0.226,-11.222,0.124,-1.036,0.102,0.916,0.862,17.547,0.917
3,4-27-22 8:22 AM,CAR1,4.49,0.01,4.20,-5.12,0.02,-4.75,16.590,0.047,-0.534,0.006,0.294,0.304,19.268,0.103,1.264,0.073,-5.221,0.716,-30.665,0.744
3,4-27-22 6:26 PM,ETH4,-9.79,0.01,-10.11,-19.12,0.03,-18.81,-11.780,0.062,-0.423,0.011,0.439,0.450,-11.335,0.128,-0.849,0.087,-0.107,1.173,16.776,1.252
3,4-28-22 8:00 AM,TRV1,1.25,0.01,0.95,-9.85,0.02,-9.51,8.728,0.048,-0.274,0.006,0.585,0.597,8.887,0.179,0.570,0.149,-3.314,1.012,-16.323,1.056
3,4-28-22 5:43 PM,ETH2,-9.84,0.01,-10.17,-18.99,0.02,-18.69,-11.920,0.034,-0.640,0.007,0.202,0.211,-11.157,0.128,-0.922,0.094,-0.120,0.559,16.562,0.609
3,4-29-22 7:17 AM,CAR1,4.40,0.01,4.10,-5.15,0.02,-4.78,16.470,0.041,-0.530,0.007,0.299,0.309,19.112,0.130,1.170,0.104,-5.150,0.872,-30.449,0.894
3,4-29-22 6:42 PM,IAEA-603,2.75,0.01,2.46,-2.80,0.02,-2.42,17.310,0.044,-0.530,0.009,0.298,0.308,24.429,0.093,1.670,0.082,-6.692,1.057,-34.928,1.070
