DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰)
1,3.744567999,0.081071222,-0.306409553,0.538471576
5,3.89005514,0.023065224,-0.663488727,0.235145822
10,4.06153894,0.034087012,-0.777790046,0.184262373
15,4.032111551,0.057350235,-0.17954195,0.154045418
20,4.053039892,0.093855008,-0.156339995,0.159850998
25,3.97022907,0.315557122,-0.378700256,2.022562882
35,3.796167833,0.109620609,-0.486044977,0.579207254
40,3.861966101,0.059863731,-0.500501877,0.140334747
45,3.629335299,0.038175522,-0.359634674,0.134261443
50,3.605887233,0.051775585,-0.523646724,0.11175726
55,3.568141682,0.084868547,-0.453379935,0.124474759
60,3.561163513,0.04949479,-0.513477333,0.095335323
65,3.650837394,0.031003956,-0.403892201,0.173174877
70,3.783063868,0.041194771,-0.67096377,0.091985628
75,3.929263023,0.040814765,-0.432229875,0.085024402
80,3.904057133,0.159955389,-0.162284556,1.100776953
85,3.902873443,0.063668856,-0.460844003,0.062011164
90,3.758424369,0.058342331,-0.414092202,0.113882028
95,3.36029458,0.043472205,-0.760539626,0.102973211
100,2.930253821,0.138952424,-0.135552068,0.684545083
105,2.289900761,0.231231473,-0.740214772,0.205665326
110,1.662767386,0.059504154,-0.217290192,0.047121391
115,2.011173831,0.107940345,0.351086408,0.410929703
120,1.639600243,0.1889167,0.349039831,0.165625121
125,1.920587556,0.062780503,1.766181914,0.173987419
130,1.918374997,0.026363181,1.843403647,0.107620131
135,2.158265244,0.292392005,1.829013171,0.175634994
140,2.178942494,0.075420476,1.743866844,0.280923436
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,