CORE,LATITUDE,LONGITUDE,WATER DEPTH [M],COLLECTION YEAR
AT167-044,25.6583,-77.35,2560,1957
AT167-046,24.8,-77.65,1884,1957
AT167-047,24.6333,-77.5833,1683,1957
AT167-048,24.6,-77.6333,1244,1957
AT167-049,24.6,-77.5666,1719,1957
AT167-055,26.3,-78.3,987,1957
AT179-011,23.9333,-75.4166,2180,1952
AT179-013,23.9333,-75.75,1850,1952
AT179-014,24.6833,-76,2250,1952
NV923BI-03,25.99,-78.268,792,1998
NV923TO-01,24.832,-77.533,1000,1998
NV923TO-02B,24.832,-77.67,2089,1998
NV923TO-03,24.833,-77.782,1100,1998
NV923TO-04,24.199,-77.535,960,1998
NV923TO-05,24.2,-77.409,1486,1998
NV923TO-06,24.2,-77.282,1380,1998
VM06-011,25.833,-77.483,2043,1955
VM07-015,26.517,-78.25,1033,1955
VM07-016,25.333,-77.6,2706,1955
VM07-018,24.467,-76.167,1728,1955
VM15-198,25.333,-77.167,2546,1959